query_id,AP_vector,AP_bm25,AP_diff (bm25 - vector),abs_diff
165,0.41666666666666663,0.5,0.08333333333333337,0.08333333333333337
182,0.41666666666666663,0.5,0.08333333333333337,0.08333333333333337
86,0.6666666666666666,0.5833333333333333,-0.08333333333333337,0.08333333333333337
155,0.3230542914531125,0.24193361714486664,-0.08112067430824585,0.08112067430824585
49,0.13949275362318841,0.06397306397306397,-0.07551968965012444,0.07551968965012444
205,0.625,0.7,0.07499999999999996,0.07499999999999996
122,0.2143225151425365,0.2869507947053016,0.0726282795627651,0.0726282795627651
174,0.16351946556366084,0.0912870503654337,-0.07223241519822714,0.07223241519822714
72,0.07927786852710088,0.1510900224877929,0.07181215396069203,0.07181215396069203
197,0.8095238095238094,0.7380952380952381,-0.07142857142857129,0.07142857142857129
204,0.11471274937360079,0.04340293943213748,-0.07130980994146331,0.07130980994146331
6,0.2459033613445378,0.17472527472527472,-0.07117808661926309,0.07117808661926309
186,0.14404424988166142,0.07346005867774474,-0.07058419120391668,0.07058419120391668
141,0.21937431581828135,0.28956807081807084,0.0701937549997895,0.0701937549997895
219,0.1087463981317145,0.039052806998075645,-0.06969359113363885,0.06969359113363885
198,0.4446078431372549,0.5140267749699158,0.0694189318326609,0.0694189318326609
59,0.22479946524064173,0.1570701713028446,-0.06772929393779714,0.06772929393779714
202,0.272540415245215,0.20496268061980266,-0.06757773462541233,0.06757773462541233
61,0.6214799588900307,0.5540563866513234,-0.06742357223870732,0.06742357223870732
96,0.2904765458232731,0.35761109659690465,0.06713455077363156,0.06713455077363156
214,0.10516236165677176,0.040661421911421906,-0.06450093974534984,0.06450093974534984
218,0.19844660165159678,0.26199823009892503,0.06355162844732826,0.06355162844732826
183,0.6213990506854729,0.5604029646893868,-0.06099608599608608,0.06099608599608608
55,0.24676954091796052,0.3075562117094375,0.060786670791476954,0.060786670791476954
119,0.08333333333333333,0.14285714285714285,0.05952380952380952,0.05952380952380952
66,0.1487962962962963,0.0893631749516007,-0.05943312134469558,0.05943312134469558
224,0.12336960987550219,0.18224723276987853,0.05887762289437634,0.05887762289437634
95,0.5144927536231884,0.5714285714285714,0.05693581780538304,0.05693581780538304
39,0.18421877235937098,0.12836119166483734,-0.05585758069453364,0.05585758069453364
37,0.13257515874340092,0.07803499326763198,-0.05454016547576894,0.05454016547576894
121,0.5633640552995391,0.5098221670802315,-0.05354188821930761,0.05354188821930761
115,0.013946060374191289,0.06718340684516469,0.053237346470973404,0.053237346470973404
184,0.16420911815503317,0.11123214581725929,-0.052976972337773875,0.052976972337773875
134,0.21929824561403508,0.2722222222222222,0.05292397660818712,0.05292397660818712
75,0.0774860683371335,0.025097777639912472,-0.052388290697221035,0.052388290697221035
104,0.04718279969481639,0.09924195369847542,0.052059154003659035,0.052059154003659035
48,0.09160742811385898,0.14263413904328523,0.05102671092942625,0.05102671092942625
149,0.350222893369446,0.40037719452993925,0.05015430116049324,0.05015430116049324
54,0.08239987207455482,0.13226290322983264,0.04986303115527782,0.04986303115527782
112,0.27941176470588236,0.3269230769230769,0.04751131221719457,0.04751131221719457
52,0.8875,0.8409090909090909,-0.046590909090909016,0.046590909090909016
99,0.2835270322332092,0.23773948644566342,-0.045787545787545764,0.045787545787545764
210,0.3895281239031239,0.34493855489396336,-0.04458956900916056,0.04458956900916056
163,0.22610062893081762,0.27008547008547007,0.043984841154652454,0.043984841154652454
40,0.08086128359811476,0.12260568776704356,0.0417444041689288,0.0417444041689288
41,0.8333333333333334,0.7916666666666666,-0.04166666666666674,0.04166666666666674
70,0.057131438252646216,0.09852344936827494,0.04139201111562872,0.04139201111562872
73,0.32309297379694846,0.362849857276633,0.039756883479684535,0.039756883479684535
90,0.09690079301784785,0.05724916423369983,-0.03965162878414802,0.03965162878414802
